Index,ground,margin,matchdate,matchid,team1,team2,winner
2594,Windhoek,5 wickets,"Apr 27, 2019",1174844,P.N.G.,U.S.A.,P.N.G.
2593,Windhoek,145 runs,"Apr 27, 2019",1174845,Namibia,Oman,Namibia
2592,Harare,3 wickets,"Apr 16, 2019",1179275,Zimbabwe,U.A.E.,Zimbabwe
2591,Harare,131 runs,"Apr 14, 2019",1179274,Zimbabwe,U.A.E.,Zimbabwe
2590,Harare,4 runs,"Apr 12, 2019",1179273,Zimbabwe,U.A.E.,Zimbabwe
2589,Harare,7 wickets,"Apr 10, 2019",1179272,Zimbabwe,U.A.E.,Zimbabwe
2588,Dubai (DSC),20 runs,"Mar 31, 2019",1174242,Australia,Pakistan,Australia
2587,Dubai (DSC),6 runs,"Mar 29, 2019",1174241,Australia,Pakistan,Australia
2586,Abu Dhabi,80 runs,"Mar 27, 2019",1174240,Australia,Pakistan,Australia
2585,Sharjah,8 wickets,"Mar 24, 2019",1174239,Australia,Pakistan,Australia
2584,Sharjah,8 wickets,"Mar 22, 2019",1174238,Australia,Pakistan,Australia
2583,Cape Town,41 runs,"Mar 16, 2019",1144171,South Africa,Sri Lanka,South Africa
2582,Port Elizabeth,6 wickets,"Mar 13, 2019",1144170,South Africa,Sri Lanka,South Africa
2581,Delhi,35 runs,"Mar 13, 2019",1168246,India,Australia,Australia
2580,Durban,71 runs,"Mar 10, 2019",1144169,South Africa,Sri Lanka,South Africa
2579,Mohali,4 wickets,"Mar 10, 2019",1168245,India,Australia,Australia
2578,Dehradun,5 wickets,"Mar 10, 2019",1168119,Afghanistan,Ireland,Ireland
2577,Ranchi,32 runs,"Mar 8, 2019",1168244,India,Australia,Australia
2576,Dehradun,109 runs,"Mar 8, 2019",1168118,Afghanistan,Ireland,Afghanistan
2575,Centurion,113 runs,"Mar 6, 2019",1144168,South Africa,Sri Lanka,South Africa
2574,Nagpur,8 runs,"Mar 5, 2019",1168243,India,Australia,India
2573,Dehradun,4 wickets,"Mar 5, 2019",1168117,Afghanistan,Ireland,Ireland
2572,Johannesburg,8 wickets,"Mar 3, 2019",1144167,South Africa,Sri Lanka,South Africa
2571,Gros Islet,7 wickets,"Mar 2, 2019",1158070,West Indies,England,West Indies
2570,Hyderabad (Deccan),6 wickets,"Mar 2, 2019",1168242,India,Australia,India
2569,Dehradun,,"Mar 2, 2019",1168116,Afghanistan,Ireland,no result
2568,Dehradun,5 wickets,"Feb 28, 2019",1168115,Afghanistan,Ireland,Afghanistan
2567,St George's,29 runs,"Feb 27, 2019",1158069,West Indies,England,England
2566,St George's,,"Feb 25, 2019",1158068,West Indies,England,no result
2565,Bridgetown,26 runs,"Feb 22, 2019",1158067,West Indies,England,West Indies
2564,Bridgetown,6 wickets,"Feb 20, 2019",1158066,West Indies,England,England
2563,Dunedin,88 runs,"Feb 20, 2019",1153846,New Zealand,Bangladesh,New Zealand
2562,Christchurch,8 wickets,"Feb 16, 2019",1153845,New Zealand,Bangladesh,New Zealand
2561,Napier,8 wickets,"Feb 13, 2019",1153844,New Zealand,Bangladesh,New Zealand
2560,Wellington,35 runs,"Feb 3, 2019",1153695,New Zealand,India,India
2559,Hamilton,8 wickets,"Jan 31, 2019",1153694,New Zealand,India,New Zealand
2558,Cape Town,7 wickets,"Jan 30, 2019",1144160,South Africa,Pakistan,South Africa
2557,ICCA Dubai,4 wickets,"Jan 28, 2019",1170456,U.A.E.,Nepal,Nepal
2556,Mount Maunganui,7 wickets,"Jan 28, 2019",1153693,New Zealand,India,India
2555,Johannesburg,8 wickets,"Jan 27, 2019",1144159,South Africa,Pakistan,Pakistan
2554,ICCA Dubai,145 runs,"Jan 26, 2019",1170455,U.A.E.,Nepal,Nepal
2553,Mount Maunganui,90 runs,"Jan 26, 2019",1153692,New Zealand,India,India
2552,Centurion,13 runs,"Jan 25, 2019",1144158,South Africa,Pakistan,South Africa
2551,ICCA Dubai,3 wickets,"Jan 25, 2019",1170454,U.A.E.,Nepal,U.A.E.
2550,Napier,8 wickets,"Jan 23, 2019",1153691,New Zealand,India,India
2549,Durban,5 wickets,"Jan 22, 2019",1144157,South Africa,Pakistan,South Africa
2548,Port Elizabeth,5 wickets,"Jan 19, 2019",1144156,South Africa,Pakistan,Pakistan
2547,Melbourne,7 wickets,"Jan 18, 2019",1144999,Australia,India,India
2546,Adelaide,6 wickets,"Jan 15, 2019",1144998,Australia,India,India
2545,Sydney,34 runs,"Jan 12, 2019",1144997,Australia,India,Australia
2544,Nelson,115 runs,"Jan 8, 2019",1153842,New Zealand,Sri Lanka,New Zealand
2543,Mount Maunganui,21 runs,"Jan 5, 2019",1153841,New Zealand,Sri Lanka,New Zealand
2542,Mount Maunganui,45 runs,"Jan 3, 2019",1153840,New Zealand,Sri Lanka,New Zealand
2541,Sylhet,8 wickets,"Dec 14, 2018",1153316,Bangladesh,West Indies,Bangladesh
2540,Dhaka,4 wickets,"Dec 11, 2018",1153315,Bangladesh,West Indies,West Indies
2539,Dhaka,5 wickets,"Dec 9, 2018",1153314,Bangladesh,West Indies,Bangladesh
2538,Dubai (DSC),,"Nov 11, 2018",1157380,New Zealand,Pakistan,no result
2537,Hobart,40 runs,"Nov 11, 2018",1144988,Australia,South Africa,South Africa
2536,Abu Dhabi,6 wickets,"Nov 9, 2018",1157379,New Zealand,Pakistan,Pakistan
2535,Adelaide,7 runs,"Nov 9, 2018",1144987,Australia,South Africa,Australia
2534,Abu Dhabi,47 runs,"Nov 7, 2018",1157378,New Zealand,Pakistan,New Zealand
2533,Perth,6 wickets,"Nov 4, 2018",1144986,Australia,South Africa,South Africa
2532,Thiruvananthapuram,9 wickets,"Nov 1, 2018",1157758,India,West Indies,India
2531,Mumbai (BS),224 runs,"Oct 29, 2018",1157757,India,West Indies,India
2530,Pune,43 runs,"Oct 27, 2018",1157756,India,West Indies,West Indies
2529,Chattogram,7 wickets,"Oct 26, 2018",1153637,Bangladesh,Zimbabwe,Bangladesh
2528,Chattogram,7 wickets,"Oct 24, 2018",1153636,Bangladesh,Zimbabwe,Bangladesh
2527,Visakhapatnam,,"Oct 24, 2018",1157755,India,West Indies,tied
2526,Colombo (RPS),219 runs,"Oct 23, 2018",1140383,Sri Lanka,England,Sri Lanka
2525,Dhaka,28 runs,"Oct 21, 2018",1153635,Bangladesh,Zimbabwe,Bangladesh
2524,Guwahati,8 wickets,"Oct 21, 2018",1157754,India,West Indies,India
2523,Pallekele,18 runs,"Oct 20, 2018",1140382,Sri Lanka,England,England
2522,Pallekele,7 wickets,"Oct 17, 2018",1140381,Sri Lanka,England,England
2521,Dambulla,31 runs,"Oct 13, 2018",1140380,Sri Lanka,England,England
2520,Dambulla,,"Oct 10, 2018",1140379,Sri Lanka,England,no result
2519,Paarl,4 wickets,"Oct 6, 2018",1144148,South Africa,Zimbabwe,South Africa
2518,Bloemfontein,120 runs,"Oct 3, 2018",1144147,South Africa,Zimbabwe,South Africa
2517,Kimberley,5 wickets,"Sep 30, 2018",1144146,South Africa,Zimbabwe,South Africa
2516,Dubai (DSC),3 wickets,"Sep 28, 2018",1153255,Bangladesh,India,India
2515,Abu Dhabi,37 runs,"Sep 26, 2018",1153254,Bangladesh,Pakistan,Bangladesh
2514,Dubai (DSC),,"Sep 25, 2018",1153253,Afghanistan,India,tied
2513,Abu Dhabi,3 runs,"Sep 23, 2018",1153252,Afghanistan,Bangladesh,Bangladesh
2512,Dubai (DSC),9 wickets,"Sep 23, 2018",1153251,India,Pakistan,India
2511,Abu Dhabi,3 wickets,"Sep 21, 2018",1153250,Afghanistan,Pakistan,Pakistan
2510,Dubai (DSC),7 wickets,"Sep 21, 2018",1153249,Bangladesh,India,India
2509,Abu Dhabi,136 runs,"Sep 20, 2018",1153248,Afghanistan,Bangladesh,Afghanistan
2508,Dubai (DSC),8 wickets,"Sep 19, 2018",1153247,India,Pakistan,India
2507,Dubai (DSC),26 runs,"Sep 18, 2018",1153246,Hong Kong,India,India
2506,Abu Dhabi,91 runs,"Sep 17, 2018",1153245,Afghanistan,Sri Lanka,Afghanistan
2505,Dubai (DSC),8 wickets,"Sep 16, 2018",1153244,Hong Kong,Pakistan,Pakistan
2504,Dubai (DSC),137 runs,"Sep 15, 2018",1153243,Bangladesh,Sri Lanka,Bangladesh
2503,Belfast,8 wickets,"Aug 31, 2018",1150148,Ireland,Afghanistan,Afghanistan
2502,Kuala Lumpur,78 runs,"Aug 30, 2018",1154649,Nepal,U.A.E.,U.A.E.
2501,Belfast,3 wickets,"Aug 29, 2018",1150147,Ireland,Afghanistan,Ireland
2500,Belfast,29 runs,"Aug 27, 2018",1150146,Ireland,Afghanistan,Afghanistan
2499,Colombo (RPS),178 runs,"Aug 12, 2018",1142588,Sri Lanka,South Africa,Sri Lanka
2498,Pallekele,3 runs,"Aug 8, 2018",1142587,Sri Lanka,South Africa,Sri Lanka
2497,Pallekele,78 runs,"Aug 5, 2018",1142586,Sri Lanka,South Africa,South Africa
2496,Amstelveen,1 run,"Aug 3, 2018",1151835,Netherlands,Nepal,Nepal
2495,Dambulla,4 wickets,"Aug 1, 2018",1142585,Sri Lanka,South Africa,South Africa
2494,Amstelveen,55 runs,"Aug 1, 2018",1151834,Netherlands,Nepal,Netherlands
2493,Dambulla,5 wickets,"Jul 29, 2018",1142584,Sri Lanka,South Africa,South Africa
2492,Basseterre,18 runs,"Jul 28, 2018",1146722,West Indies,Bangladesh,Bangladesh
2491,Providence,3 runs,"Jul 25, 2018",1146721,West Indies,Bangladesh,West Indies
2490,Providence,48 runs,"Jul 22, 2018",1146720,West Indies,Bangladesh,Bangladesh
2489,Bulawayo,131 runs,"Jul 22, 2018",1142924,Zimbabwe,Pakistan,Pakistan
2488,Bulawayo,244 runs,"Jul 20, 2018",1142923,Zimbabwe,Pakistan,Pakistan
2487,Bulawayo,9 wickets,"Jul 18, 2018",1142922,Zimbabwe,Pakistan,Pakistan
2486,Leeds,8 wickets,"Jul 17, 2018",1119548,England,India,England
2485,Bulawayo,9 wickets,"Jul 16, 2018",1142921,Zimbabwe,Pakistan,Pakistan
2484,Lord's,86 runs,"Jul 14, 2018",1119547,England,India,England
2483,Bulawayo,201 runs,"Jul 13, 2018",1142920,Zimbabwe,Pakistan,Pakistan
2482,Nottingham,8 wickets,"Jul 12, 2018",1119546,England,India,India
2481,Manchester,1 wicket,"Jun 24, 2018",1119541,England,Australia,England
2480,Chester-le-Street,6 wickets,"Jun 21, 2018",1119540,England,Australia,England
2479,Nottingham,242 runs,"Jun 19, 2018",1119539,England,Australia,England
2478,Cardiff,38 runs,"Jun 16, 2018",1119538,England,Australia,England
2477,The Oval,3 wickets,"Jun 13, 2018",1119537,England,Australia,England
2476,Edinburgh,6 runs,"Jun 10, 2018",1124639,Scotland,England,Scotland
2475,Harare,7 wickets,"Mar 25, 2018",1133031,Afghanistan,West Indies,Afghanistan
2474,Harare,5 wickets,"Mar 23, 2018",1133030,Afghanistan,Ireland,Afghanistan
2473,Harare,3 runs,"Mar 22, 2018",1133029,Zimbabwe,U.A.E.,U.A.E.
2472,Harare,5 runs,"Mar 21, 2018",1133028,Scotland,West Indies,West Indies
2471,Harare,5 wickets,"Mar 20, 2018",1133027,Afghanistan,U.A.E.,Afghanistan
2470,Harare,4 wickets,"Mar 19, 2018",1133026,Zimbabwe,West Indies,West Indies
2469,Harare,25 runs,"Mar 18, 2018",1133025,Ireland,Scotland,Ireland
2468,Harare,58 runs,"Mar 17, 2018",1133023,Hong Kong,P.N.G.,P.N.G.
2467,Harare,107 runs,"Mar 16, 2018",1133022,Zimbabwe,Ireland,Zimbabwe
2466,Bulawayo,73 runs,"Mar 15, 2018",1133019,Scotland,U.A.E.,Scotland
2465,Harare,3 wickets,"Mar 15, 2018",1133018,Afghanistan,West Indies,Afghanistan
2464,Bulawayo,,"Mar 12, 2018",1133017,Zimbabwe,Scotland,tied
2463,Harare,226 runs,"Mar 12, 2018",1133015,Ireland,U.A.E.,Ireland
2462,Bulawayo,89 runs,"Mar 10, 2018",1133012,Zimbabwe,Hong Kong,Zimbabwe
2461,Harare,52 runs,"Mar 10, 2018",1133010,Ireland,West Indies,West Indies
2460,Christchurch,7 wickets,"Mar 10, 2018",1115779,New Zealand,England,England
2459,Harare,6 wickets,"Mar 8, 2018",1133007,P.N.G.,West Indies,West Indies
2458,Bulawayo,30 runs,"Mar 8, 2018",1133009,Afghanistan,Hong Kong,Hong Kong
2457,Dunedin,5 wickets,"Mar 7, 2018",1115778,New Zealand,England,New Zealand
2456,Bulawayo,2 runs,"Mar 6, 2018",1133004,Zimbabwe,Afghanistan,Zimbabwe
2455,Harare,60 runs,"Mar 6, 2018",1133003,U.A.E.,West Indies,West Indies
2454,Harare,4 wickets,"Mar 6, 2018",1133002,Ireland,P.N.G.,Ireland
2453,Bulawayo,4 wickets,"Mar 6, 2018",1133005,Hong Kong,Scotland,Scotland
2452,Harare,56 runs,"Mar 4, 2018",1134540,P.N.G.,U.A.E.,U.A.E.
2451,Bulawayo,7 wickets,"Mar 4, 2018",1133001,Afghanistan,Scotland,Scotland
2450,Wellington,4 runs,"Mar 3, 2018",1115777,New Zealand,England,England
2449,Mount Maunganui,6 wickets,"Feb 28, 2018",1115776,New Zealand,England,England
2448,Hamilton,3 wickets,"Feb 25, 2018",1115775,New Zealand,England,New Zealand
2447,Sharjah,146 runs,"Feb 19, 2018",1134037,Afghanistan,Zimbabwe,Afghanistan
2446,Centurion,8 wickets,"Feb 16, 2018",1122284,South Africa,India,India
2445,Sharjah,10 wickets,"Feb 16, 2018",1134036,Afghanistan,Zimbabwe,Afghanistan
2444,Port Elizabeth,73 runs,"Feb 13, 2018",1122283,South Africa,India,India
2443,Sharjah,6 wickets,"Feb 13, 2018",1134035,Afghanistan,Zimbabwe,Afghanistan
2442,Sharjah,154 runs,"Feb 11, 2018",1134034,Afghanistan,Zimbabwe,Zimbabwe
2441,Johannesburg,5 wickets,"Feb 10, 2018",1122282,South Africa,India,South Africa
2440,Sharjah,154 runs,"Feb 9, 2018",1134033,Afghanistan,Zimbabwe,Afghanistan
2439,Cape Town,124 runs,"Feb 7, 2018",1122281,South Africa,India,India
2438,Centurion,9 wickets,"Feb 4, 2018",1122280,South Africa,India,India
2437,Durban,6 wickets,"Feb 1, 2018",1122279,South Africa,India,India
2436,Perth,12 runs,"Jan 28, 2018",1072314,Australia,England,England
2435,Dhaka,79 runs,"Jan 27, 2018",1130743,Bangladesh,Sri Lanka,Sri Lanka
2434,Adelaide,3 wickets,"Jan 26, 2018",1072313,Australia,England,Australia
2433,Dhaka,10 wickets,"Jan 25, 2018",1130742,Bangladesh,Sri Lanka,Sri Lanka
2432,Dhaka,91 runs,"Jan 23, 2018",1130741,Bangladesh,Zimbabwe,Bangladesh
2431,ICCA Dubai,4 wickets,"Jan 23, 2018",1131279,U.A.E.,Scotland,U.A.E.
2430,Dhaka,5 wickets,"Jan 21, 2018",1130740,Sri Lanka,Zimbabwe,Sri Lanka
2429,ICCA Dubai,31 runs,"Jan 21, 2018",1131278,U.A.E.,Scotland,Scotland
2428,Sydney,16 runs,"Jan 21, 2018",1072312,Australia,England,England
2427,Dhaka,163 runs,"Jan 19, 2018",1130739,Bangladesh,Sri Lanka,Bangladesh
2426,Brisbane,4 wickets,"Jan 19, 2018",1072311,Australia,England,England
2425,Wellington,15 runs,"Jan 19, 2018",1115806,New Zealand,Pakistan,New Zealand
2424,ICCA Dubai,24 runs,"Jan 18, 2018",1131277,Ireland,Scotland,Ireland
2423,Dhaka,12 runs,"Jan 17, 2018",1130738,Sri Lanka,Zimbabwe,Zimbabwe
2422,ICCA Dubai,6 wickets,"Jan 16, 2018",1131276,Ireland,Scotland,Ireland
2421,Hamilton,5 wickets,"Jan 16, 2018",1115805,New Zealand,Pakistan,New Zealand
2420,Dhaka,8 wickets,"Jan 15, 2018",1130737,Bangladesh,Zimbabwe,Bangladesh
2419,Melbourne,5 wickets,"Jan 14, 2018",1072310,Australia,England,England
2418,ICCA Dubai,67 runs,"Jan 13, 2018",1131275,U.A.E.,Ireland,Ireland
2417,Dunedin,183 runs,"Jan 13, 2018",1115804,New Zealand,Pakistan,New Zealand
2416,ICCA Dubai,4 wickets,"Jan 11, 2018",1131274,U.A.E.,Ireland,Ireland
2415,Nelson,8 wickets,"Jan 9, 2018",1115803,New Zealand,Pakistan,New Zealand
2414,Wellington,61 runs,"Jan 6, 2018",1115802,New Zealand,Pakistan,New Zealand
2413,Christchurch,66 runs,"Dec 26, 2017",1115797,New Zealand,West Indies,New Zealand
2412,Christchurch,204 runs,"Dec 23, 2017",1115796,New Zealand,West Indies,New Zealand
2411,Whangarei,5 wickets,"Dec 20, 2017",1115795,New Zealand,West Indies,New Zealand
2410,Visakhapatnam,8 wickets,"Dec 17, 2017",1122728,India,Sri Lanka,India
2409,Mohali,141 runs,"Dec 13, 2017",1122727,India,Sri Lanka,India
2408,Sharjah,5 wickets,"Dec 10, 2017",1125474,Afghanistan,Ireland,Ireland
2407,Dharamsala,7 wickets,"Dec 10, 2017",1122726,India,Sri Lanka,Sri Lanka
2406,ICCA Dubai,93 runs,"Dec 8, 2017",1124090,Hong Kong,P.N.G.,Hong Kong
2405,Sharjah,51 runs,"Dec 7, 2017",1125473,Afghanistan,Ireland,Ireland
2404,ICCA Dubai,23 runs,"Dec 6, 2017",1124089,Hong Kong,P.N.G.,Hong Kong
2403,Sharjah,138 runs,"Dec 5, 2017",1125472,Afghanistan,Ireland,Afghanistan
2402,Dubai (DSC),4 wickets,"Nov 25, 2017",1126323,P.N.G.,Scotland,Scotland
2401,Dubai (DSC),6 wickets,"Nov 24, 2017",1126321,P.N.G.,Scotland,Scotland
2400,Kanpur,6 runs,"Oct 29, 2017",1120092,India,New Zealand,India
2399,Pune,6 wickets,"Oct 25, 2017",1120091,India,New Zealand,India
2398,Sharjah,9 wickets,"Oct 23, 2017",1120290,Pakistan,Sri Lanka,Pakistan
2397,East London,200 runs,"Oct 22, 2017",1075506,South Africa,Bangladesh,South Africa
2396,Mumbai,6 wickets,"Oct 22, 2017",1120090,India,New Zealand,New Zealand
2395,Sharjah,7 wickets,"Oct 20, 2017",1120289,Pakistan,Sri Lanka,Pakistan
2394,Abu Dhabi,7 wickets,"Oct 18, 2017",1120288,Pakistan,Sri Lanka,Pakistan
2393,Paarl,104 runs,"Oct 18, 2017",1075505,South Africa,Bangladesh,South Africa
2392,Abu Dhabi,32 runs,"Oct 16, 2017",1120287,Pakistan,Sri Lanka,Pakistan
2391,Kimberley,10 wickets,"Oct 15, 2017",1075504,South Africa,Bangladesh,South Africa
2390,Dubai (DSC),83 runs,"Oct 13, 2017",1120286,Pakistan,Sri Lanka,Pakistan
2389,Port Moresby,5 wickets,"Oct 8, 2017",1105006,P.N.G.,Scotland,P.N.G.
2388,Port Moresby,101 runs,"Oct 6, 2017",1105005,P.N.G.,Scotland,Scotland
2387,Nagpur,7 wickets,"Oct 1, 2017",1119500,India,Australia,India
2386,Southampton,9 wickets,"Sep 29, 2017",1031675,England,West Indies,England
2385,Bengaluru,21 runs,"Sep 28, 2017",1119499,India,Australia,Australia
2384,The Oval,6 runs,"Sep 27, 2017",1031673,England,West Indies,England
2383,Bristol,124 runs,"Sep 24, 2017",1031671,England,West Indies,England
2382,Indore,5 wickets,"Sep 24, 2017",1119498,India,Australia,India
2381,Nottingham,,"Sep 21, 2017",1031669,England,West Indies,no result
2380,Kolkata,50 runs,"Sep 21, 2017",1119497,India,Australia,India
2379,Manchester,7 wickets,"Sep 19, 2017",1031667,England,West Indies,England
2378,Chennai,26 runs,"Sep 17, 2017",1119496,India,Australia,India
2377,Colombo (RPS),6 wickets,"Sep 3, 2017",1109609,Sri Lanka,India,India
2376,Colombo (RPS),168 runs,"Aug 31, 2017",1109608,Sri Lanka,India,India
2375,Pallekele,6 wickets,"Aug 27, 2017",1109607,Sri Lanka,India,India
2374,Pallekele,3 wickets,"Aug 24, 2017",1109606,Sri Lanka,India,India
2373,Dambulla,9 wickets,"Aug 20, 2017",1109605,Sri Lanka,India,India
2372,Hambantota,3 wickets,"Jul 10, 2017",1104482,Sri Lanka,Zimbabwe,Zimbabwe
2371,Hambantota,4 wickets,"Jul 8, 2017",1104481,Sri Lanka,Zimbabwe,Zimbabwe
2370,Kingston,8 wickets,"Jul 6, 2017",1098210,West Indies,India,India
2369,Hambantota,8 wickets,"Jul 6, 2017",1104480,Sri Lanka,Zimbabwe,Sri Lanka
2368,North Sound,11 runs,"Jul 2, 2017",1098209,West Indies,India,West Indies
2367,Galle,7 wickets,"Jul 2, 2017",1104479,Sri Lanka,Zimbabwe,Sri Lanka
2366,North Sound,93 runs,"Jun 30, 2017",1098208,West Indies,India,India
2365,Galle,6 wickets,"Jun 30, 2017",1104478,Sri Lanka,Zimbabwe,Zimbabwe
2364,Port of Spain,105 runs,"Jun 25, 2017",1098207,West Indies,India,India
2363,Port of Spain,,"Jun 23, 2017",1098206,West Indies,India,no result
2362,The Oval,180 runs,"Jun 18, 2017",1022375,India,Pakistan,Pakistan
2361,Edinburgh,6 wickets,"Jun 17, 2017",1089420,Scotland,Zimbabwe,Zimbabwe
2360,Edinburgh,26 runs,"Jun 15, 2017",1089419,Scotland,Zimbabwe,Scotland
2359,Birmingham,9 wickets,"Jun 15, 2017",1022373,Bangladesh,India,India
2358,Gros Islet,,"Jun 14, 2017",1089781,West Indies,Afghanistan,no result
2357,Cardiff,8 wickets,"Jun 14, 2017",1022371,England,Pakistan,Pakistan
2356,Cardiff,3 wickets,"Jun 12, 2017",1022369,Pakistan,Sri Lanka,Pakistan
2355,Gros Islet,4 wickets,"Jun 11, 2017",1089780,West Indies,Afghanistan,West Indies
2354,The Oval,8 wickets,"Jun 11, 2017",1022367,India,South Africa,India
2353,Birmingham,40 runs,"Jun 10, 2017",1022365,England,Australia,England
2352,Gros Islet,63 runs,"Jun 9, 2017",1089779,West Indies,Afghanistan,Afghanistan
2351,Cardiff,5 wickets,"Jun 9, 2017",1022363,Bangladesh,New Zealand,Bangladesh
2350,The Oval,7 wickets,"Jun 8, 2017",1022361,India,Sri Lanka,Sri Lanka
2349,Birmingham,19 runs,"Jun 7, 2017",1022359,Pakistan,South Africa,Pakistan
2348,Cardiff,87 runs,"Jun 6, 2017",1022357,England,New Zealand,England
2347,The Oval,,"Jun 5, 2017",1022355,Australia,Bangladesh,no result
2346,Birmingham,124 runs,"Jun 4, 2017",1022353,India,Pakistan,India
2345,The Oval,96 runs,"Jun 3, 2017",1022351,South Africa,Sri Lanka,South Africa
2344,Birmingham,,"Jun 2, 2017",1022349,Australia,New Zealand,no result
2343,The Oval,8 wickets,"Jun 1, 2017",1022347,England,Bangladesh,England
2342,Lord's,7 wickets,"May 29, 2017",1031429,England,South Africa,South Africa
2341,Southampton,2 runs,"May 27, 2017",1031427,England,South Africa,England
2340,Leeds,72 runs,"May 24, 2017",1031425,England,South Africa,England
2339,Dublin,5 wickets,"May 24, 2017",1033371,Bangladesh,New Zealand,Bangladesh
2338,Dublin (Malahide),190 runs,"May 21, 2017",1033369,Ireland,New Zealand,New Zealand
2337,Dublin (Malahide),8 wickets,"May 19, 2017",1033367,Ireland,Bangladesh,Bangladesh
2336,Dublin,4 wickets,"May 17, 2017",1033365,Bangladesh,New Zealand,New Zealand
2335,Dublin (Malahide),51 runs,"May 14, 2017",1033363,Ireland,New Zealand,New Zealand
2334,Dublin (Malahide),,"May 12, 2017",1033361,Ireland,Bangladesh,no result
2333,Lord's,85 runs,"May 7, 2017",1029003,England,Ireland,England
2332,Bristol,7 wickets,"May 5, 2017",1029001,England,Ireland,England
2331,Providence,6 wickets,"Apr 11, 2017",1077951,West Indies,Pakistan,Pakistan
2330,Providence,74 runs,"Apr 9, 2017",1077950,West Indies,Pakistan,Pakistan
2329,Providence,4 wickets,"Apr 7, 2017",1077949,West Indies,Pakistan,West Indies
2328,Abu Dhabi,103 runs,"Apr 4, 2017",1089183,U.A.E.,P.N.G.,U.A.E.
2327,Abu Dhabi,26 runs,"Apr 2, 2017",1068737,U.A.E.,P.N.G.,P.N.G.
2326,Colombo (SSC),70 runs,"Apr 1, 2017",1083448,Sri Lanka,Bangladesh,Sri Lanka
2325,Abu Dhabi,82 runs,"Mar 31, 2017",1068736,U.A.E.,P.N.G.,U.A.E.
2324,Dambulla,,"Mar 28, 2017",1083447,Sri Lanka,Bangladesh,no result
2323,Dambulla,90 runs,"Mar 25, 2017",1083446,Sri Lanka,Bangladesh,Bangladesh
2322,Greater Noida,7 wickets,"Mar 24, 2017",1040499,Afghanistan,Ireland,Afghanistan
2321,Greater Noida,3 wickets,"Mar 22, 2017",1040497,Afghanistan,Ireland,Ireland
2320,Greater Noida,6 wickets,"Mar 19, 2017",1040495,Afghanistan,Ireland,Ireland
2319,Greater Noida,34 runs,"Mar 17, 2017",1040493,Afghanistan,Ireland,Afghanistan
2318,Greater Noida,30 runs,"Mar 15, 2017",1040491,Afghanistan,Ireland,Afghanistan
2317,Bridgetown,186 runs,"Mar 9, 2017",1027319,West Indies,England,England
2316,North Sound,4 wickets,"Mar 5, 2017",1027317,West Indies,England,England
2315,ICCA Dubai,8 wickets,"Mar 4, 2017",1080631,U.A.E.,Ireland,Ireland
2314,Auckland,6 wickets,"Mar 4, 2017",1020039,New Zealand,South Africa,South Africa
2313,North Sound,45 runs,"Mar 3, 2017",1027315,West Indies,England,England
2312,ICCA Dubai,85 runs,"Mar 2, 2017",1080630,U.A.E.,Ireland,Ireland
2311,Hamilton,7 wickets,"Mar 1, 2017",1020037,New Zealand,South Africa,New Zealand
2310,Harare,106 runs,"Feb 26, 2017",1079250,Zimbabwe,Afghanistan,Afghanistan
2309,Wellington,159 runs,"Feb 25, 2017",1020035,New Zealand,South Africa,South Africa
2308,Harare,7 wickets,"Feb 24, 2017",1079249,Zimbabwe,Afghanistan,Zimbabwe
2307,Christchurch,6 runs,"Feb 22, 2017",1020033,New Zealand,South Africa,New Zealand
2306,Harare,3 runs,"Feb 21, 2017",1079248,Zimbabwe,Afghanistan,Zimbabwe
2305,Harare,54 runs,"Feb 19, 2017",1079247,Zimbabwe,Afghanistan,Afghanistan
2304,Hamilton,4 wickets,"Feb 19, 2017",1020031,New Zealand,South Africa,South Africa
2303,Harare,12 runs,"Feb 16, 2017",1079246,Zimbabwe,Afghanistan,Afghanistan
2302,Centurion,88 runs,"Feb 10, 2017",936167,South Africa,Sri Lanka,South Africa
2301,Cape Town,40 runs,"Feb 7, 2017",936165,South Africa,Sri Lanka,South Africa
2300,Hamilton,24 runs,"Feb 5, 2017",1020017,New Zealand,Australia,New Zealand
2299,Johannesburg,7 wickets,"Feb 4, 2017",936163,South Africa,Sri Lanka,South Africa
2298,Durban,121 runs,"Feb 1, 2017",936161,South Africa,Sri Lanka,South Africa
2297,Auckland,6 runs,"Jan 30, 2017",1020013,New Zealand,Australia,New Zealand
2296,Port Elizabeth,8 wickets,"Jan 28, 2017",936159,South Africa,Sri Lanka,South Africa
2295,Dubai (DSC),6 wickets,"Jan 26, 2017",1078661,U.A.E.,Hong Kong,U.A.E.
2294,Adelaide,57 runs,"Jan 26, 2017",1000895,Australia,Pakistan,Australia
2293,Dubai (DSC),4 wickets,"Jan 24, 2017",1078660,U.A.E.,Scotland,U.A.E.
2292,Kolkata,5 runs,"Jan 22, 2017",1034823,India,England,England
2291,Abu Dhabi,7 wickets,"Jan 22, 2017",1078659,Hong Kong,Scotland,Hong Kong
2290,Sydney,86 runs,"Jan 22, 2017",1000893,Australia,Pakistan,Australia
2289,Cuttack,15 runs,"Jan 19, 2017",1034821,India,England,India
2288,Perth,7 wickets,"Jan 19, 2017",1000891,Australia,Pakistan,Australia
2287,Pune,3 wickets,"Jan 15, 2017",1034819,India,England,India
